date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:02	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:30:02	7898/7898	---M-Z	200	added ('OK')	text/html	etag:%221eda-649e0f97-f767f198d33335a3;gz%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/index.html	(from )
12:30:03	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:03	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:03	9794/9794	---M-Z	200	added ('OK')	text/css	etag:%222642-6415dad2-a27c0235f86fc73d;gz%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/css/styles.css?v=2	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/css/styles5e1f.css	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:03	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:03	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:04	34607/34607	---M--	200	added ('OK')	image/png	etag:%22872f-6415dad2-284dee13cdb01744;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/1.png	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:05	655454/655454	---M--	200	added ('OK')	image/gif	etag:%22a005e-6415dad3-1936d53bee99bc66;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:05	34613/34613	---M--	200	added ('OK')	image/jpeg	etag:%228735-6415dad2-a5c4c82e1a900d86;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/foto1.jpg	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:05	14465/14465	---M--	200	added ('OK')	image/png	etag:%223881-6415dad2-d14bbc64bac1ceaa;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/cinta.png	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:05	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:06	1556/1556	---M-Z	200	added ('OK')	application/x-javascript	etag:%22614-6415dad2-6cef03548f2fd34;gz%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/js/card.js?v=2	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/js/card5e1f.js	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:06	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:30:06	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:30:07	151000/151000	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2224dd8-6415dad2-51b478210a704a89;gz%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/fonts/Rakoon_PersonalUse.ttf	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/fonts/Rakoon_PersonalUse.ttf	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/css/styles.css?v=2)
12:30:07	2066808/2066808	---M--	200	added ('OK')	audio/mpeg	etag:%221f8978-6415dad7-f6908901f0a71665;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/sounds/audio.mp3?v=1	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/sounds/audio3860.mp3	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/)
12:30:07	13182/13182	---M--	200	added ('OK')	image/jpeg	etag:%22337e-6415dad2-4014242c5bea1f2f;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/fondo_tarjeta.jpg?v=1	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/fondo_tarjeta3860.jpg	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/css/styles.css?v=2)
12:30:08	28944/28944	---M--	200	added ('OK')	image/jpeg	etag:%227110-6415dad2-c27cd32776688b8b;;;%22	https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/fondo.jpg	C:/Mis%20lugares%20Web/invitacionGranjaDeZenon/www.tarjetas.cool/modelos/cumple/granja_de_zenon/img/fondo.jpg	(from https://www.tarjetas.cool/modelos/cumple/granja_de_zenon/css/styles.css?v=2)
12:30:08	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
